"Institution.Source","Catalog.Number","Number.of.specimens","Family","Scientific.name","Locality","County","Latitude","Longitude","State","Date.Collected","Field.Locality.number","Collectors","...14"
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CF11, BRUNSWICK RIVER",,34.23194,-77.98583,"NC","070427","1902020000",,
"NCDMF",,2,"Paralichthyidae","Paralichthys lethostigma","CF11, BRUNSWICK RIVER",,34.23194,-77.98583,"NC","070515","1902020000",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CFR1, CAPE FEAR RIVER, WILMINGTON AND ABOVE",,34.24944,-77.97333,"NC","030701","1902000000",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CFR1, CAPE FEAR RIVER, WILMINGTON AND ABOVE",,34.24944,-77.97333,"NC","030711","1902000000",,
"NCDMF",,2,"Paralichthyidae","Paralichthys lethostigma","CFR1, CAPE FEAR RIVER, WILMINGTON AND ABOVE",,34.24944,-77.97333,"NC","030813","1902000000",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CFR1, CAPE FEAR RIVER, WILMINGTON AND ABOVE",,34.24944,-77.97333,"NC","031202","1902000000",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CFR1, CAPE FEAR RIVER, WILMINGTON AND ABOVE",,34.24944,-77.97333,"NC","040415","1902000000",,
"NCDMF",,5,"Paralichthyidae","Paralichthys lethostigma","CFR1, CAPE FEAR RIVER, WILMINGTON AND ABOVE",,34.24944,-77.97333,"NC","040611","1902000000",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CFR1, CAPE FEAR RIVER, WILMINGTON AND ABOVE",,34.24944,-77.97333,"NC","040702","1902000000",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CFR1, CAPE FEAR RIVER, WILMINGTON AND ABOVE",,34.24944,-77.97333,"NC","040804","1902000000",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CFR1, CAPE FEAR RIVER, WILMINGTON AND ABOVE",,34.24944,-77.97333,"NC","041103","1902000000",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CFR1, CAPE FEAR RIVER, WILMINGTON AND ABOVE",,34.24944,-77.97333,"NC","050307","1902000000",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CFR1, CAPE FEAR RIVER, WILMINGTON AND ABOVE",,34.24944,-77.97333,"NC","050512","1902000000",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CFR1, CAPE FEAR RIVER, WILMINGTON AND ABOVE",,34.24944,-77.97333,"NC","050616","1902000000",,
"NCDMF",,2,"Paralichthyidae","Paralichthys lethostigma","CFR1, CAPE FEAR RIVER, WILMINGTON AND ABOVE",,34.24944,-77.97333,"NC","050715","1902000000",,
"NCDMF",,2,"Paralichthyidae","Paralichthys lethostigma","CFR1, CAPE FEAR RIVER, WILMINGTON AND ABOVE",,34.24944,-77.97333,"NC","050719","1902000000",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CFR1, CAPE FEAR RIVER, WILMINGTON AND ABOVE",,34.24944,-77.97333,"NC","050921","1902000000",,
"NCDMF",,3,"Paralichthyidae","Paralichthys lethostigma","CFR1, CAPE FEAR RIVER, WILMINGTON AND ABOVE",,34.24944,-77.97333,"NC","060413","1902000000",,
