"Institution.Source","Catalog.Number","Number.of.specimens","Family","Scientific.name","Locality","County","Latitude","Longitude","State","Date.Collected","Field.Locality.number","Collectors","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35"
"NCDMF",,"2","Lepisosteidae","Lepisosteus osseus","NE45, SMITH CREEK TO LANE FERRY","",34.43889,-77.82917,"NC","021025","1902030100","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","UCF7, BELOW HWY 210","",34.37333,-78.07833,"NC","021031","1902040100","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"2","Lepisosteidae","Lepisosteus osseus","OUTFALL CANAL","",35.3625,-76.09583,"NC","021115","516000000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","UCF7, BELOW HWY 210","",34.37333,-78.07833,"NC","021122","1902040100","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","NE44, SMITH CREEK TO LANE FERRY","",34.37583,-77.86389,"NC","021125","1902030100","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","NE43, SMITH CREEK TO LANE FERRY","",34.368,-77.932,"NC","021202","1902030100","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","NE44, SMITH CREEK TO LANE FERRY","",34.37583,-77.86389,"NC","030318","1902030100","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"2","Lepisosteidae","Lepisosteus osseus","UCF7, BELOW HWY 210","",34.37333,-78.07833,"NC","030325","1902040100","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","NE44, SMITH CREEK TO LANE FERRY","",34.37583,-77.86389,"NC","030416","1902030100","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","UCF7, BELOW HWY 210","",34.37333,-78.07833,"NC","030423","1902040100","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"2","Lepisosteidae","Lepisosteus osseus","A25, CAMPBELL CREEK","",35.28672,-76.64753,"NC","030512","528400500","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","E31, SPICE CREEK","",35.1083,-76.64045,"NC","030513","535030701","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"2","Lepisosteidae","Lepisosteus osseus","HOG ISLAND","",35.37194,-76.07,"NC","030515","500330000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"3","Lepisosteidae","Lepisosteus osseus","UCF7, BELOW HWY 210","",34.37333,-78.07833,"NC","030522","1902040100","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"2","Lepisosteidae","Lepisosteus osseus","E. OF BLUFF TO LONG SH./RODAN.","",35.36389,-76.09389,"NC","030528","500170100","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","NE45, SMITH CREEK TO LANE FERRY","",34.43889,-77.82917,"NC","030605","1902030100","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","UCF7, BELOW HWY 210","",34.37333,-78.07833,"NC","030610","1902040100","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"9","Lepisosteidae","Lepisosteus osseus","OUTFALL CANAL","",35.36083,-76.105,"NC","030611","516000000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","PAR57, LITTLE CREEK","",35.313,-76.764,"NC","030611","528370900","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","RAIL BAY","",35.67639,-75.76167,"NC","030613","501010000","",,,,,,,,,,,,,,,,,,,,,,
